season,episode,title,directed_by,written_by,air_date,us_views_millions,imdb_rating
3,12,The One with All the Jealousy,Robby Benson,Doty Abrams,1/16/97,29.6,8.2
3,13,The One Where Monica and Richard Are Just Friends,Robby Benson,Michael Borkow,1/30/97,28,8.2
3,14,The One with Phoebe's Ex-Partner,Robby Benson,Wil Calhoun,2/6/97,28.9,7.9
3,15,The One Where Ross and Rachel Take a Break,James Burrows,Michael Borkow,2/13/97,27.3,8.6
3,16,The One with the Morning After,James Burrows,David Crane & Marta Kauffman,2/20/97,28.3,9.1
3,17,The One Without the Ski Trip,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,3/6/97,25.8,8.3
3,18,The One with the Hypnosis Tape,Robby Benson,Seth Kurland,3/13/97,28.1,8.4
3,19,The One with the Tiny T-Shirt,Terry Hughes,Adam Chase,3/27/97,23.7,8.2
3,20,The One with the Dollhouse,Terry Hughes,Wil Calhoun,4/10/97,24.4,8.1
3,21,The One with a Chick and a Duck,Michael Lembeck,Chris Brown,4/17/97,23.2,8.7
3,22,The One with the Screamer,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,4/24/97,22.6,8.3
3,23,The One with Ross's Thing,Shelley Jensen,Ted Cohen & Andrew Reich,5/1/97,24.2,8.1
3,24,The One with the Ultimate Fighting Champion,Robby Benson,Story by: Pang-Ni Landrum & Mark KunerthTeleplay by: Shana Goldberg-Meehan & Scott Silveri,5/8/97,23.1,8.1
3,25,The One at the Beach,Pamela Fryman,Story by: Pang-Ni Landrum & Mark KunerthTeleplay by: Adam Chase,5/15/97,28.8,8.8
4,1,The One with the Jellyfish,Shelley Jensen,Wil Calhoun,9/25/97,29.4,9.1
4,2,The One with the Cat,Shelley Jensen,Jill Condon & Amy Toomin,10/2/97,25.5,8.1
4,3,The One with the Cuffs,Peter Bonerz,Seth Kurland,10/9/97,24,8.5
4,4,The One with the Ballroom Dancing,Gail Mancuso,Ted Cohen & Andrew Reich,10/16/97,24.3,8.2
4,5,The One with Joey's New Girlfriend,Gail Mancuso,Gregory S. Malins & Michael Curtis,10/30/97,24.4,8.4
4,6,The One with the Dirty Girl,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,11/6/97,25.7,8.5
4,7,The One Where Chandler Crosses the Line,Kevin S. Bright,Adam Chase,11/13/97,26.4,8.7
4,8,The One with Chandler in a Box,Peter Bonerz,Michael Borkow,11/20/97,26.8,9.1
4,9,The One Where They're Going to Party!,Peter Bonerz,Ted Cohen & Andrew Reich,12/11/97,23.9,7.9
4,10,The One with the Girl from Poughkeepsie,Gary Halvorson,Scott Silveri,12/18/97,23.2,8.1
4,11,The One with Phoebe's Uterus,David Steinberg,Seth Kurland,1/8/98,23.7,8.5
4,12,The One with the Embryos,Kevin S. Bright,Jill Condon & Amy Toomin,1/15/98,27.1,9.5
4,13,The One with Rachel's Crush,Dana DeVally Piazza,Shana Goldberg-Meehan,1/29/98,25.3,8.2
4,14,The One with Joey's Dirty Day,Peter Bonerz,Wil Calhoun,2/5/98,25.1,8.2
4,15,The One with All the Rugby,James Burrows,Story by: Ted Cohen & Andrew ReichTeleplay by: Wil Calhoun,2/26/98,24.4,8.5
4,16,The One with the Fake Party,Michael Lembeck,Story by: Alicia Sky VarinaitisTeleplay by: Scott Silveri & Shana Goldberg-Meehan,3/19/98,23.1,8.2
4,17,The One with the Free Porn,Michael Lembeck,Story by: Mark KunerthTeleplay by: Richard Goodman,3/26/98,23.2,8.6
4,18,The One with Rachel's New Dress,Gail Mancuso,Story by: Andrew Reich & Ted CohenTeleplay by: Jill Condon & Amy Toomin,4/2/98,21.7,8.3
4,19,The One with All the Haste,Kevin S. Bright,Scott Silveri & Wil Calhoun,4/9/98,21.8,8.7
4,20,The One with All the Wedding Dresses,Gail Mancuso,Story by: Adam ChaseTeleplay by: Gregory S. Malins & Michael Curtis,4/16/98,21.9,8.5
4,21,The One with the Invitation,Peter Bonerz,Seth Kurland,4/23/98,21.5,7.2
4,22,The One with the Worst Best Man Ever,Peter Bonerz,Story by: Seth KurlandTeleplay by: Gregory S. Malins & Michael Curtis,4/30/98,23.2,8.5
